DATE,CIG,VIS,TMP,DEW,SLP,WD,WS,CLDCR,CLDHT
2018-02-01 18:00:00,1250.0,10000,13.2,7.1,1022.0,90,2.0,0.5,450.0
2018-02-01 21:00:00,1250.0,10000,13.2,8.2,1022.9,50,2.0,0.3,450.0
2018-02-02 00:00:00,1250.0,4000,13.2,7.5,1026.1,360,2.0,0.5,450.0
2018-02-02 03:00:00,1250.0,10000,14.2,3.2,1028.9,360,2.0,0.3,450.0
2018-02-02 06:00:00,1250.0,10000,14.7,3.4,1026.5,340,2.0,0.2,450.0
2018-02-02 09:00:00,,10000,15.2,3.3,1024.7,320,2.0,0.2,450.0
2018-02-02 12:00:00,,10000,14.3,4.6,1025.7,340,1.0,0.2,450.0
2018-02-02 15:00:00,,10000,13.8,4.2,1028.0,340,2.0,0.2,450.0
2018-02-02 18:00:00,,10000,13.2,3.9,1027.8,320,1.0,0.3,450.0
2018-02-02 21:00:00,,10000,12.7,2.9,1027.6,360,1.0,0.3,450.0
2018-02-03 00:00:00,,10000,12.5,1.7,1028.6,360,2.0,0.7,1250.0
2018-02-03 03:00:00,,10000,13.6,1.2,1029.6,340,3.0,0.7,1250.0
2018-02-03 06:00:00,,10000,16.1,2.2,1025.4,360,2.0,0.2,1250.0
2018-02-03 09:00:00,22000.0,10000,16.8,2.7,1022.1,50,2.0,0.1,800.0
2018-02-03 12:00:00,,10000,15.2,4.7,1023.2,270,2.0,0.2,450.0
2018-02-03 15:00:00,,10000,14.3,7.3,1024.5,999,999.9,0.2,450.0
2018-02-03 18:00:00,,10000,13.1,7.1,1025.2,90,1.0,0.3,450.0
2018-02-03 21:00:00,,10000,12.8,6.0,1024.7,90,1.0,0.3,450.0
2018-02-04 00:00:00,,10000,12.9,2.0,1026.2,20,3.0,0.5,450.0
2018-02-04 03:00:00,,10000,14.4,1.8,1028.0,340,3.0,0.3,450.0
2018-02-04 06:00:00,,10000,16.2,1.8,1024.5,360,3.0,0.2,450.0
2018-02-04 09:00:00,,10000,15.8,1.4,1022.8,360,3.0,0.1,450.0
2018-02-04 12:00:00,22000.0,10000,13.8,2.1,1024.4,360,2.0,0.1,450.0
2018-02-04 15:00:00,,10000,13.8,2.1,1026.9,360,3.0,0.7,1250.0
2018-02-04 18:00:00,,10000,13.4,2.7,1027.4,360,3.0,0.2,450.0
2018-02-04 21:00:00,,10000,12.6,1.6,1027.9,360,4.0,0.3,450.0
2018-02-05 00:00:00,,10000,11.6,0.7,1029.9,360,3.0,0.5,450.0
2018-02-05 03:00:00,,10000,12.0,0.7,1031.5,20,3.0,0.5,450.0
2018-02-05 06:00:00,,10000,14.6,2.4,1027.3,360,3.0,0.7,1250.0
2018-02-05 09:00:00,,10000,15.2,4.2,1024.5,360,2.0,0.7,1250.0
2018-02-05 12:00:00,,10000,13.4,4.2,1025.6,999,999.9,0.2,450.0
2018-02-05 15:00:00,22000.0,10000,12.2,5.5,1027.5,999,999.9,0.4,1250.0
2018-02-05 18:00:00,22000.0,10000,12.0,1.9,1027.3,360,2.0,0.2,1250.0
2018-02-05 21:00:00,,10000,11.6,5.0,1025.8,320,1.0,0.8,1250.0
2018-02-06 00:00:00,,10000,11.2,-1.6,1026.8,999,999.9,0.7,1250.0
2018-02-06 03:00:00,,10000,14.8,-0.6,1026.7,90,2.0,0.6,1250.0
2018-02-06 06:00:00,,10000,15.0,-0.6,1022.3,140,1.0,0.2,800.0
2018-02-06 09:00:00,,10000,15.0,-1.3,1019.7,180,1.0,0.2,800.0
2018-02-06 12:00:00,,10000,14.2,0.5,1020.4,180,1.0,0.3,450.0
