,v_2m,d_2m,v_10m,d_10m,v_50m,d_50m,v_850,d_850,v_500,d_500,v_250,d_250
2018-07-19 12:00:00,5.199982970765285,91.49391225953171,7.637683678723299,91.47527536150018,10.034068775072019,92.35279097718326,17.478794793164457,114.56470913029025,10.832412227690838,145.09055114984363,8.226356286140804,146.6519679400897
2018-07-19 13:00:00,4.85284598810554,99.20061022163246,7.1129897641632445,99.18935575755003,9.366109305129156,100.01746029651247,16.084282835523563,119.36108809734358,9.744462267145805,140.5048326028293,7.826508641663663,149.8770160958753
2018-07-19 14:00:00,4.411091569988549,104.84642968326662,6.461095494602462,104.84125608898935,8.479637504945714,105.54869658385567,14.56622328784307,121.05782870012999,8.878143977454705,139.3516549139481,7.32849682668269,149.0035470663965
2018-07-19 15:00:00,3.709705750772032,107.92210870697878,5.445325536504598,107.91479366498824,7.1384050247906226,108.37407831480184,12.914067113359833,122.80413197375167,8.069819889426912,141.23164672989006,7.265740997752225,142.36725733720297
2018-07-19 16:00:00,3.120394012138103,108.90038482076713,4.605597153547609,108.91340058739152,6.285561975518044,109.71979697528528,11.572555764755727,123.73896993868411,7.634207303941157,143.030808427792,7.096864538353927,134.04786377621224
2018-07-19 17:00:00,2.474959298209097,109.08023691326122,3.748484039240697,109.11430348402877,5.875930575297925,109.9858715079561,10.777709447792896,122.2096366354386,7.273109734771524,144.31714569360054,6.764135892954523,126.30940103891191
2018-07-19 18:00:00,1.8419896983195212,107.77612680796942,2.935916192902708,107.8272012195221,5.48701990986529,108.4002503533515,10.385621136568385,120.14936495880671,6.918617775129273,143.23056379516754,6.304641401341761,119.01370199070499
2018-07-19 19:00:00,1.3900300249811477,105.71343434872415,2.340481428252658,105.79668597020627,4.898082013286834,106.21036265357706,9.99969299445578,119.270751424626,6.903479624391695,140.2813176776243,5.699666610450013,112.10026721915125
2018-07-19 20:00:00,1.0383041749117163,102.21205903745414,1.9013166863388569,102.29058300418443,4.215006802575943,102.55885620325081,9.507018340793184,118.56507183130647,7.259614644605886,138.64646066636203,5.1388108222747775,103.03311896252532
2018-07-19 21:00:00,0.8439608642966288,94.54555587749309,1.6922345990956011,94.58702336964261,3.6990013635339216,94.81641802303758,9.045418589524136,116.78293784176478,7.86667864613453,139.9772590546121,4.8377261726281064,90.2570157580889
2018-07-19 22:00:00,0.7868898453414186,88.83075574520272,1.646668053249832,88.76332419532494,3.5326262251922866,89.42965076845043,8.569560507731442,114.53276443065815,8.219506068168451,141.85826773542013,4.429486424856386,86.49497357234311
2018-07-19 23:00:00,0.7523673395848485,86.78072467451487,1.622997586524005,86.60916051408806,3.4076684752662154,87.14016835439128,8.037361778044012,112.9562839277095,8.253021673314086,142.93823696330088,3.6213628661380435,93.37016204014705
2018-07-20 01:00:00,0.7669184457568418,77.30206078274193,1.6155881433692807,77.15022625445827,3.4226247220976127,77.70251976804936,7.038139445840118,110.97795937038798,7.729698745609269,146.67768369838382,2.0845866373237283,146.68121839873814
2018-07-20 02:00:00,0.8279108799342443,74.19507603881584,1.6399536254840499,74.12937731722981,3.6032719092789134,74.49356070247688,6.5084605434501945,112.14458006481254,7.196066741461547,149.37979624444282,2.5084242126585865,182.91760695953542
2018-07-20 03:00:00,0.9080459388348501,72.93018304332254,1.697673192032816,73.05498113921817,3.804394364663118,73.28698107862465,6.006402581205013,115.501165061947,6.549821492509201,151.20186439238168,3.3104223370811225,198.43375457642804
2018-07-20 04:00:00,0.9691327486405165,76.19850455165162,1.749878226515902,76.45393878689093,3.913782305544417,76.74360037015504,5.783352930184639,122.60320931094469,5.965983310283334,152.29669259680927,3.822875324586133,207.7638445394698
2018-07-20 05:00:00,1.0576607777727869,80.80369060621379,1.837027105710311,81.08250765051325,4.017329739813655,81.58203904709724,5.759927495407754,132.71445025377525,5.605643071624364,152.2286962891585,4.059109463348507,217.0123367078078
2018-07-20 06:00:00,1.572119566965343,83.13038988722418,2.4238850820473514,83.14199527571289,3.989099228487431,83.64600539885407,5.7542013993106815,142.77643960060814,5.434224915404518,152.28260571280947,4.192121956084619,225.96556014928672
2018-07-20 07:00:00,2.0004857948368024,84.0177473658806,2.9183456574789792,83.91036967333152,3.731915794789182,84.18993138297411,5.703140335157136,150.00521624648567,5.241779137290969,155.3273359988027,4.467945844544225,236.6402052199082
2018-07-20 08:00:00,2.2830448972393005,92.4161740463929,3.2576012189920616,92.31784683944046,4.0291842344946005,94.5469341653668,5.491974555990085,155.070117862589,5.08449832281628,163.0296515982248,4.646167835239226,248.18001890166602
2018-07-20 09:00:00,2.6985847145851505,105.30750578576689,3.859350176460287,105.28919081303013,4.764735695934995,107.29799269146544,5.154552249616536,157.61621971058946,5.0557246989940365,174.4726777845645,4.736891771501075,259.58211107938916
2018-07-20 10:00:00,2.8808867474159428,111.34522809956312,4.109466752389591,111.31482686127445,5.023462710412904,113.1050285349831,4.676908075467434,157.11218186970046,5.113573202208903,186.30276709382343,4.742469787279856,267.8030893768796
2018-07-20 11:00:00,2.8859605103606945,113.55600734043063,4.09709101689725,113.51081327418575,4.962416051612359,114.97333080924646,4.1777859210453885,155.10082695351994,4.951213681587666,196.18779821566724,4.5687874430972935,270.69637007642837
2018-07-20 12:00:00,2.853029308572075,113.90435325440288,4.050670784521529,113.87486008380188,4.9049587888999895,115.28728550301656,3.58173454940115,154.23809092371812,4.350545711115424,208.2782849688175,4.26693838995057,264.2170742320618
